	authorid	author_name	affiliation	emails
113	~Andrew_Gordon_Wilson1	Andrew Wilson	Cornell University	****@gmail.com, ****@cornell.edu, ****@cims.nyu.edu
114	~Kilian_Q_Weinberger1	Kilian Weinberger	Cornell University	****@cornell.edu, ****@cis.upenn.edu, ****@cornell.edu, ****@cornell.edu
115	~Ian_F._Tenney1	Ian Tenney	Google	****@gmail.com, ****@stanford.edu, ****@google.com
116	~Patrick_Xia1	Patrick Xia	Johns Hopkins University	****@cs.jhu.edu, ****@jhu.edu
117	~Berlin_Chen1	Berlin Chen	University of Cambridge	****@swarthmore.edu, ****@gmail.com
118	~Alex_Wang1	Alex Wang	New York University	****@gmail.com, ****@nyu.edu, ****@nyu.edu
119	~Adam_Poliak1	Adam Poliak	Department of Computer Science, Whiting School of Engineering	****@cs.jhu.edu, ****@barnard.edu
120	~R._Thomas_McCoy1	R. McCoy	Johns Hopkins University	****@jhu.edu
121	~Najoung_Kim1	Najoung Kim	Johns Hopkins University	****@jhu.edu
122	~Benjamin_Van_Durme1	Benjamin Durme	Microsoft	****@cs.jhu.edu, ****@jhu.edu, ****@microsoft.com
123	~Samuel_R._Bowman1	Samuel Bowman	New York University	****@nyu.edu, ****@stanford.edu, ****@google.com, ****@nyu.edu, ****@uchicago.edu
124	~Dipanjan_Das1	Dipanjan Das	Google	****@gmail.com, ****@google.com, ****@cs.cmu.edu
125	~Ellie_Pavlick1	Ellie Pavlick	Brown University	****@brown.edu, ****@gmail.com, ****@google.com
126	~Rajarshi_Das1	Rajarshi Das	University of Massachusetts, Amherst	****@cs.umass.edu, ****@gmail.com
127	~Shehzaad_Zuzar_Dhuliawala1	Shehzaad Dhuliawala	Swiss Federal Institute of Technology	****@gmail.com, ****@cs.umass.edu, ****@microsoft.com, ****@inf.ethz.ch
128	~Manzil_Zaheer1	Manzil Zaheer	Zaheer	****@cmu.edu, ****@cmu.edu, ****@google.com, ****@zaheer.ml
129	~Andrew_McCallum1	Andrew McCallum	Information Extraction and Synthesis Laboratory	****@cs.cmu.edu, ****@cs.umass.edu, ****@gmail.com
130	~Vitalii_Zhelezniak1	Vitalii Zhelezniak	babylon health	****@babylonhealth.com
131	~Aleksandar_Savkov1	Aleksandar Savkov	babylon health	****@babylonhealth.com
132	~April_Shen1	April Shen	babylon health	****@babylonhealth.com
133	~Francesco_Moramarco1	Francesco Moramarco	Babylon	****@babylonhealth.com
134	~Nils_Yannick_Hammerla1	Nils Hammerla	Twitter	****@babylonhealth.com, ****@gmail.com, ****@twitter.com
135	~Faisal_Mahmood1	Faisal Mahmood	Johns Hopkins University	****@jhu.edu, ****@bwh.harvard.edu
136	~Wenhao_Xu2	Wenhao Xu	Tsinghua University	****@jhu.edu
137	~Nicholas_J._Durr1	Nicholas Durr	Johns Hopkins University	****@jhu.edu
138	~Jeremiah_W_Johnson1	Jeremiah Johnson	University of New Hampshire	****@unh.edu
139	~Alan_Yuille1	Alan Yuille	Johns Hopkins University	****@gmail.com, ****@stat.ucla.edu, ****@jhu.edu
140	~Jiayuan_Mao1	Jiayuan Mao	Massachusetts Institute of Technology	****@mails.tsinghua.edu.cn, ****@gmail.com, ****@mit.edu
141	~Chuang_Gan1	Chuang Gan	MIT-IBM Watson AI Lab	****@gmail.com
142	~Pushmeet_Kohli1	Pushmeet Kohli	Google DeepMind	****@microsoft.com, ****@google.com, ****@gmail.com
143	~Jiajun_Wu1	Jiajun Wu	Stanford University	****@gmail.com, ****@mit.edu, ****@stanford.edu, ****@cs.stanford.edu
144	~Taesik_Na1	Taesik Na	Georgia Institute of Technology	****@gatech.edu
145	~Minah_Lee1	Minah Lee	Georgia Institute of Technology	****@gatech.edu
146	~Burhan_Ahmad_Mudassar1	Burhan Mudassar	Georgia Institute of Technology	****@gatech.edu
147	~Priyabrata_Saha1	Priyabrata Saha	Georgia Institute of Technology	****@gatech.edu
148	~Yujia_Li1	Yujia Li	DeepMind	****@gmail.com, ****@cs.toronto.edu, ****@google.com
149	~Chenjie_Gu1	Chenjie Gu	DeepMind	****@google.com, ****@deepmind.com
150	~Oriol_Vinyals1	Oriol Vinyals	Electrical Engineering & Computer Science Department	****@google.com, ****@gmail.com, ****@eecs.berkeley.edu, ****@deepmind.com
151	~Pushmeet_Kohli1	Pushmeet Kohli	Google DeepMind	****@microsoft.com, ****@google.com, ****@gmail.com
152	~Honghua_Dong1	Honghua Dong	Department of Computer Science, University of Toronto	****@mails.tsinghua.edu.cn, ****@gmail.com, ****@cs.toronto.edu
153	~Jiayuan_Mao1	Jiayuan Mao	Massachusetts Institute of Technology	****@mails.tsinghua.edu.cn, ****@gmail.com, ****@mit.edu
154	~Tian_Lin2	Tian Lin	Google	****@google.com, ****@gmail.com
155	~Chong_Wang3	Chong Wang	Google	****@google.com
156	~Lihong_Li1	Lihong Li	Amazon	****@gmail.com, ****@amazon.com
157	~Dengyong_Zhou2	Dengyong Zhou	Google	****@gmail.com, ****@google.com
158	~Ji_Lin1	Ji Lin	Massachusetts Institute of Technology	****@gmail.com, ****@berkeley.edu, ****@mails.tsinghua.edu.cn, ****@mit.edu
159	~Chuang_Gan1	Chuang Gan	MIT-IBM Watson AI Lab	****@gmail.com
160	~song_han1	song han	Massachusetts Institute of Technology	****@stanford.edu, ****@google.com, ****@mit.edu
161	~Jack_Lanchantin1	Jack Lanchantin	University of Virginia	****@virginia.edu, ****@gmail.com
162	~Arshdeep_Sekhon1	Arshdeep Sekhon	, University of Virginia	****@virginia.edu
163	~Yanjun_Jane_Qi1	Yanjun Qi	University of Virginia	****@virginia.edu, ****@virginia.edu
164	~Xu_Bingbing1	Xu Bingbing	Institute of Computing Technology, Chinese Academy of Sciences	****@software.ict.ac.cn, ****@ict.ac.cn
165	~Qi_Cao1	Qi Cao	Institute of Computing Technology, Chinese Academy of Sciences, China	****@software.ict.ac.cn, ****@ict.ac.cn
166	~Yunqi_Qiu2	Yunqi Qiu	Institute of Computing Technology, Chinese Academy of Sciences	****@software.ict.ac.cn, ****@163.com, ****@gmail.com, ****@ict.ac.cn, ****@ict.ac.cn
167	~Xueqi_Cheng1	Xueqi Cheng	, Chinese Academy of Sciences	****@ict.ac.cn
168	~Dan_Busbridge1	Dan Busbridge	Babylon Health	****@gmail.com, ****@babylonhealth.com
169	~Dane_Sherburn1	Dane Sherburn	Babylon Health	****@gmail.com
170	~Pietro_Cavallo1	Pietro Cavallo	University of Roma 2	****@gmail.com
171	~Nils_Yannick_Hammerla1	Nils Hammerla	Twitter	****@babylonhealth.com, ****@gmail.com, ****@twitter.com
172	~Iou-Jen_Liu1	Iou-Jen Liu	University of Illinois, Urbana Champaign	****@illinois.edu
173	~Alex_Schwing1	Alex Schwing	University of Illinois, Urbana Champaign	****@cs.toronto.edu, ****@illinois.edu, ****@inf.ethz.ch
174	~Wei-Yu_Chen1	Wei-Yu Chen	Carnegie Mellon University	****@andrew.cmu.edu
175	~Yen-Cheng_Liu1	Yen-Cheng Liu	Georgia Institute of Technology	****@gatech.edu
176	~Zsolt_Kira1	Zsolt Kira	Georgia Tech Research Institute	****@gatech.edu, ****@gtri.gatech.edu
177	~Yu-Chiang_Frank_Wang2	Yu-Chiang Frank Wang	National Taiwan University	****@ntu.edu.tw
178	~Jia-Bin_Huang1	Jia-Bin Huang	Virginia Tech	****@vt.edu, ****@illinois.edu, ****@gmail.com
179	~Marko_Vasic1	Marko Vasic	University of Texas, Austin	****@utexas.edu
180	~Aditya_Kanade2	Aditya Kanade	Indian Institute of Science	****@iisc.ac.in, ****@google.com
181	~Petros_Maniatis1	Petros Maniatis	Google Brain	****@google.com
182	~David_Bieber1	David Bieber	Google	****@google.com, ****@gmail.com
183	~Rishabh_Singh1	Rishabh Singh	Microsoft	****@gmail.com, ****@microsoft.com, ****@google.com
184	~David_Saxton1	David Saxton		****@google.com
185	~Edward_Grefenstette1	Edward Grefenstette	Facebook	****@gmail.com, ****@google.com, ****@cs.ox.ac.uk, ****@egrefen.com, ****@fb.com
